This notepad takes measurements from the generator and then the loadCR going from 1ohm to 31 by 0.3 increments
Time,TimeLoop, counter, R set, Vm, Im, Rm
117.46368432044983,0.0019834041595458984,58,2.739999999999996,4.3,1.542,2.788586251621271
119.47944140434265,0.0029773712158203125,59,2.769999999999996,4.34,1.542,2.8145265888456548
121.51710963249207,0.009920120239257812,60,2.799999999999996,4.39,1.542,2.8469520103761345
123.53714513778687,0.0019843578338623047,61,2.8299999999999956,4.4,1.533,2.870189171559035
125.56958055496216,0.0025544166564941406,62,2.8599999999999954,4.45,1.533,2.9028049575994785
127.58732914924622,0.0025315284729003906,63,2.8899999999999952,4.5,1.532,2.93733681462141
129.61976766586304,0.002497434616088867,64,2.919999999999995,4.54,1.532,2.9634464751958225
131.65254402160645,0.002676725387573242,65,2.949999999999995,4.59,1.532,2.996083550913838
133.69780707359314,0.021051645278930664,66,2.9799999999999947,4.64,1.532,3.0287206266318534
135.71288752555847,0.009942770004272461,67,3.0099999999999945,4.68,1.532,3.0548302872062663
137.7286458015442,0.009648799896240234,68,3.0399999999999943,4.7,1.523,3.086014445173999
139.75688409805298,0.002444028854370117,69,3.069999999999994,4.75,1.523,3.1188443860801054
141.79337859153748,0.007086992263793945,70,3.099999999999994,4.79,1.523,3.1451083388049903
143.81277132034302,0.011408567428588867,71,3.1299999999999937,4.83,1.523,3.1713722915298757
145.8325798511505,0.002293109893798828,72,3.1599999999999935,4.88,1.523,3.2042022324359816
147.87252736091614,0.013699531555175781,73,3.1899999999999933,4.88,1.508,3.236074270557029
149.89323806762695,0.0025441646575927734,74,3.219999999999993,4.89,1.498,3.264352469959946
151.92516112327576,0.006494998931884766,75,3.249999999999993,4.89,1.484,3.2951482479784366
153.94888758659363,0.01051187515258789,76,3.2799999999999927,4.88,1.469,3.3219877467665078
156.00346159934998,0.03132271766662598,77,3.3099999999999925,4.89,1.459,3.351610692254969
158.02834820747375,0.0099029541015625,78,3.3399999999999923,4.9,1.447,3.3863165169315828
160.04297494888306,0.007708549499511719,79,3.369999999999992,4.9,1.436,3.412256267409471
162.0670096874237,0.016528844833374023,80,3.399999999999992,4.91,1.423,3.4504567814476457
164.10605382919312,0.009972333908081055,81,3.4299999999999917,4.91,1.411,3.479801559177888
166.145663022995,0.022731781005859375,82,3.4599999999999915,4.92,1.402,3.509272467902996
168.1686623096466,0.0019867420196533203,83,3.4899999999999913,4.92,1.39,3.539568345323741
170.21353697776794,0.014237165451049805,84,3.519999999999991,4.91,1.378,3.5631349782293182
172.220139503479,0.002493619918823242,85,3.549999999999991,4.93,1.369,3.601168736303871
174.28410005569458,0.03513479232788086,86,3.5799999999999907,4.93,1.358,3.6303387334315165
176.31148028373718,0.010705709457397461,87,3.6099999999999905,4.93,1.347,3.659985152190052
178.34403944015503,0.02616119384765625,88,3.6399999999999904,4.93,1.338,3.684603886397608
180.34939765930176,0.0025205612182617188,89,3.66999999999999,4.94,1.328,3.7198795180722892
182.37486577033997,0.010356664657592773,90,3.69999999999999,4.94,1.317,3.7509491268033415
184.38354063034058,0.001982450485229492,91,3.7299999999999898,4.95,1.308,3.7844036697247705
186.40003180503845,0.0020236968994140625,92,3.7599999999999896,4.94,1.299,3.8029253271747505
188.459645986557,0.045142173767089844,93,3.7899999999999894,4.95,1.289,3.840186190845617
190.46400809288025,0.0022542476654052734,94,3.819999999999989,4.95,1.281,3.864168618266979
192.47982025146484,0.0027828216552734375,95,3.849999999999989,4.96,1.271,3.9024390243902443
194.50430560112,0.011509418487548828,96,3.879999999999989,4.96,1.262,3.93026941362916
196.5110924243927,0.0022275447845458984,97,3.9099999999999886,4.97,1.254,3.963317384370016
198.52747344970703,0.002518177032470703,98,3.9399999999999884,4.96,1.246,3.980738362760835
200.5599045753479,0.0047760009765625,99,3.969999999999988,4.97,1.237,4.017784963621665
202.58538508415222,0.010378122329711914,100,3.999999999999988,4.96,1.226,4.045676998368679
