This notepad takes measurements from the generator and then the load
Time,Counter,Vc,Ic,Rc,Vm,Im,Rm
119.46454048156738,112,5.23,1.56,3.3525641025641026,5.23,0.45,11.622222222222224
120.51173996925354,113,5.23,1.56,3.3525641025641026,5.24,0.447,11.722595078299777
121.58686566352844,114,5.23,1.56,3.3525641025641026,5.23,0.443,11.8058690744921
122.6410460472107,115,5.24,1.56,3.358974358974359,5.23,0.433,12.078521939953811
123.796954870224,116,5.23,1.56,3.3525641025641026,5.25,0.437,12.013729977116705
124.88604307174683,117,5.24,1.56,3.358974358974359,5.24,0.432,12.12962962962963
125.93822956085205,118,5.24,1.56,3.358974358974359,5.25,0.429,12.237762237762238
127.00537586212158,119,5.24,1.56,3.358974358974359,5.24,0.421,12.446555819477435
128.0795032978058,120,5.24,1.56,3.358974358974359,5.24,0.423,12.387706855791963
129.14465522766113,121,5.24,1.56,3.358974358974359,5.25,0.419,12.52983293556086
130.20382237434387,122,5.24,1.56,3.358974358974359,5.24,0.416,12.596153846153847
131.27994585037231,123,5.24,1.56,3.358974358974359,5.24,0.413,12.68765133171913
132.35307478904724,124,5.24,1.56,3.358974358974359,5.25,0.41,12.80487804878049
133.42620515823364,125,5.25,1.56,3.3653846153846154,5.24,0.4,13.1
134.49734139442444,126,5.25,1.56,3.3653846153846154,5.26,0.404,13.019801980198018
135.55950093269348,127,5.25,1.56,3.3653846153846154,5.26,0.401,13.117206982543639
136.626647233963,128,5.25,1.56,3.3653846153846154,5.25,0.398,13.190954773869347
137.7087540626526,129,5.25,1.56,3.3653846153846154,5.25,0.395,13.291139240506329
138.81180453300476,130,5.25,1.56,3.3653846153846154,5.25,0.393,13.358778625954198
139.87496042251587,131,5.25,1.56,3.3653846153846154,5.26,0.389,13.52185089974293
140.92016577720642,132,5.25,1.56,3.3653846153846154,5.25,0.388,13.530927835051546
141.9992799758911,133,5.25,1.56,3.3653846153846154,5.26,0.384,13.697916666666666
143.05046939849854,134,5.25,1.56,3.3653846153846154,5.25,0.381,13.779527559055119
144.1086390018463,135,5.25,1.56,3.3653846153846154,5.25,0.378,13.88888888888889
145.1787781715393,136,5.25,1.56,3.3653846153846154,5.25,0.376,13.962765957446809
146.23595070838928,137,5.26,1.56,3.3717948717948714,5.25,0.368,14.266304347826088
147.32703304290771,138,5.26,1.56,3.3717948717948714,5.26,0.361,14.570637119113574
148.36924624443054,139,5.26,1.56,3.3717948717948714,5.26,0.369,14.254742547425474
149.4363923072815,140,5.26,1.56,3.3717948717948714,5.27,0.366,14.398907103825136
150.4895761013031,141,5.26,1.56,3.3717948717948714,5.26,0.364,14.45054945054945
151.54176259040833,142,5.26,1.56,3.3717948717948714,5.26,0.361,14.570637119113574
152.59793877601624,143,5.26,1.56,3.3717948717948714,5.27,0.359,14.679665738161559
153.65511202812195,144,5.26,1.56,3.3717948717948714,5.26,0.357,14.73389355742297
154.71627402305603,145,5.26,1.56,3.3717948717948714,5.27,0.354,14.887005649717514
155.78342008590698,146,5.26,1.56,3.3717948717948714,5.26,0.352,14.943181818181818
156.8814845085144,147,5.26,1.56,3.3717948717948714,5.26,0.351,14.985754985754985
157.93167519569397,148,5.26,1.56,3.3717948717948714,5.26,0.348,15.114942528735632
159.0048062801361,149,5.26,1.56,3.3717948717948714,5.26,0.346,15.202312138728324
160.08890652656555,150,5.27,1.56,3.3782051282051277,5.26,0.344,15.290697674418606
161.2079141139984,151,5.27,1.56,3.3782051282051277,5.28,0.342,15.43859649122807
162.25012731552124,152,5.27,1.56,3.3782051282051277,5.27,0.341,15.454545454545451
163.31727385520935,153,5.27,1.56,3.3782051282051277,5.27,0.338,15.59171597633136
164.37245273590088,154,5.27,1.56,3.3782051282051277,5.27,0.336,15.684523809523807
165.43461227416992,155,5.27,1.56,3.3782051282051277,5.28,0.329,16.048632218844986
166.5027551651001,156,5.27,1.56,3.3782051282051277,5.27,0.331,15.9214501510574
167.55793380737305,157,5.27,1.56,3.3782051282051277,5.28,0.329,16.048632218844986
168.60712790489197,158,5.27,1.56,3.3782051282051277,5.27,0.328,16.067073170731707
169.66529846191406,159,5.27,1.56,3.3782051282051277,5.27,0.326,16.16564417177914
170.75139451026917,160,5.27,1.56,3.3782051282051277,5.28,0.324,16.296296296296298
171.8155481815338,161,5.27,1.56,3.3782051282051277,5.27,0.323,16.31578947368421
172.8886787891388,162,5.27,1.56,3.3782051282051277,5.27,0.32,16.46875
173.97776627540588,163,5.27,1.56,3.3782051282051277,5.27,0.318,16.572327044025155
175.04192090034485,164,5.27,1.56,3.3782051282051277,5.27,0.316,16.677215189873415
176.12203240394592,165,5.28,1.56,3.3846153846153846,5.28,0.314,16.81528662420382
177.18219757080078,166,5.28,1.56,3.3846153846153846,5.29,0.314,16.847133757961785
178.28125858306885,167,5.28,1.56,3.3846153846153846,5.29,0.311,17.009646302250804
179.34541296958923,168,5.28,1.56,3.3846153846153846,5.28,0.31,17.03225806451613
180.40757298469543,169,5.28,1.56,3.3846153846153846,5.28,0.308,17.142857142857142
181.47671556472778,170,5.28,1.56,3.3846153846153846,5.28,0.306,17.254901960784316
